,Image signal (A.U.),filter,image_group
216,355.2424483306836,56,2
217,354.9697933227345,57,2
218,354.6518282988871,58,2
219,354.24403815580285,59,2
220,354.26073131955485,60,2
221,354.16136724960256,61,2
222,353.4697933227345,62,2
223,350.17488076311605,63,2
224,347.61764705882354,64,2
225,345.2579491255962,65,2
226,341.0731319554849,66,2
227,338.731319554849,67,2
228,336.15779014308424,68,2
229,319.5433227344992,69,2
230,308.91136724960256,70,2
231,306.8076311605723,71,2
232,296.1116852146264,72,2
233,285.24682034976155,73,2
234,283.6927662957075,74,2
235,276.1573926868044,75,2
236,272.1096979332273,76,2
237,267.63712241653417,77,2
238,266.0945945945946,78,2
239,264.7543720190779,79,2
240,3096.0978670012546,0,3
241,2866.496863237139,1,3
242,2621.603513174404,2,3
243,2370.757841907152,3,3
244,2129.737766624843,4,3
245,1933.370138017566,5,3
246,1810.31869510665,6,3
247,1717.120451693852,7,3
248,1662.8607277289836,8,3
249,1592.9385194479298,9,3
250,1555.9535759096611,10,3
251,1513.9774153074027,11,3
252,1454.6838143036387,12,3
253,1451.3500627352573,13,3
254,1442.1693851944792,14,3
255,1430.6486825595985,15,3
256,1384.0075282308658,16,3
257,1337.2873274780427,17,3
258,1270.2810539523211,18,3
259,1170.711417816813,19,3
260,1073.9786700125471,20,3
261,1047.6938519447929,21,3
262,1034.4767879548306,22,3
263,939.5181932245922,23,3
264,759.99121706399,24,3
265,624.6888331242158,25,3
266,620.6700125470514,26,3
267,614.9924717691342,27,3
268,610.2860727728984,28,3
269,608.6323713927227,29,3
270,603.1342534504391,30,3
271,603.3864491844416,31,3
272,599.2082810539523,32,3
273,599.306148055207,33,3
274,596.1279799247177,34,3
275,594.1154328732748,35,3
276,594.1154328732748,36,3
277,591.5294855708909,37,3
278,585.2070263488081,38,3
279,583.9498117942284,39,3
280,583.2296110414053,40,3
281,583.4818067754078,41,3
282,581.1718946047679,42,3
283,581.2685069008783,43,3
284,579.8444165621079,44,3
285,579.7013801756588,45,3
286,579.7013801756588,46,3
287,579.4077791718946,47,3
288,576.9811794228357,48,3
289,576.9811794228357,49,3
290,577.4855708908407,50,3
291,554.5181932245922,51,3
292,541.1053952321205,52,3
293,472.8795483061481,53,3
294,416.0,54,3
295,416.0,55,3
296,416.0,56,3
297,416.0,57,3
298,416.0,58,3
299,416.0,59,3
300,416.0,60,3
301,416.0,61,3
302,416.0,62,3
303,416.0,63,3
304,416.0,64,3
305,416.0,65,3
306,416.0,66,3
307,416.0,67,3
308,416.0,68,3
309,376.0,69,3
310,352.0,70,3
311,351.0,71,3
312,331.0,72,3
313,312.0,73,3
314,312.0,74,3
315,301.0,75,3
316,297.0,76,3
317,293.0,77,3
318,293.0,78,3
319,293.0,79,3
320,1536.1418181818183,0,4
321,1460.7218181818182,1,4
322,1381.360909090909,2,4
323,1305.480909090909,3,4
324,1263.2663636363636,4,4
325,1214.36,5,4
326,1183.2890909090909,6,4
327,1159.4945454545455,7,4
328,1131.1963636363637,8,4
329,1108.4845454545455,9,4
330,1087.6727272727273,10,4
331,1060.8190909090908,11,4
332,1040.9945454545455,12,4
333,1028.899090909091,13,4
334,1012.5536363636363,14,4
335,999.3481818181818,15,4
336,982.9254545454545,16,4
337,972.8872727272727,17,4
338,955.2336363636364,18,4
339,950.1872727272727,19,4
340,942.45,20,4
341,935.6572727272727,21,4
342,930.0918181818182,22,4
343,874.1518181818182,23,4
344,810.6527272727272,24,4
345,773.85,25,4
346,747.2818181818182,26,4
347,726.5236363636363,27,4
348,725.5209090909091,28,4
349,725.3990909090909,29,4
350,700.99,30,4
351,700.9990909090909,31,4
352,700.98,32,4
353,700.88,33,4
354,700.8818181818182,34,4
355,700.7754545454545,35,4
356,700.6536363636363,36,4
357,669.7054545454546,37,4
358,617.0,38,4
359,617.0,39,4
360,617.0,40,4
361,617.0,41,4
362,617.0,42,4
363,617.0,43,4
364,617.0,44,4
365,617.0,45,4
366,617.0,46,4
367,617.0,47,4
368,617.0,48,4
369,617.0,49,4
370,617.0,50,4
371,589.0,51,4
372,572.0,52,4
373,485.0,53,4
374,416.0,54,4
375,416.0,55,4
376,416.0,56,4
377,416.0,57,4
378,416.0,58,4
379,416.0,59,4
380,416.0,60,4
