,label,centroid-0,centroid-1,area,eccentricity,euler_number,extent,feret_diameter_max,inertia_tensor-0-0,inertia_tensor-0-1,inertia_tensor-1-0,inertia_tensor-1-1,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,moments_normalized-0-0,moments_normalized-0-1,moments_normalized-0-2,moments_normalized-0-3,moments_normalized-1-0,moments_normalized-1-1,moments_normalized-1-2,moments_normalized-1-3,moments_normalized-2-0,moments_normalized-2-1,moments_normalized-2-2,moments_normalized-2-3,moments_normalized-3-0,moments_normalized-3-1,moments_normalized-3-2,moments_normalized-3-3,orientation,perimeter,perimeter_crofton,solidity,sd_intensity,skew_intensity,pixelcount,mean_int,class
10,11,11.503734439834025,2072.460165975104,2410,0.9625970003503177,1,0.7754182754182755,111.01801655587259,748.8367949931992,10.345909333516989,10.345909333516989,55.13546323238232,748.9910602904615,54.981197935119916,2410.0,131249.0,8952539.0,686663501.0,27724.0,1484920.0,96530424.0,7032335296.0,451806.0,23842198.0,1498905418.0,105247340602.0,8461156.0,440640598.0,27022441074.0,1846280280778.0,2410.0,4.490630090003833e-12,1804696.67593361,2538580.1492859977,2.2311041902867146e-12,-24933.641493775944,-3741426.710027718,-33730324.350118935,132876.46639004137,-189571.76782286845,89275674.23145549,-40533692.07567888,206548.59236721077,-3714164.162743909,-220283161.502612,-3712712255.493873,0.3335984473965068,0.08292723765886956,0.0017259637553214107,0.00022156734156362478,-1.049423929236898e-08,-2.2950421096504172e-05,-1.3661452843803943e-07,,,0.3107206618229042,0.008903243950285418,,-0.004292908437143979,-0.01312183691771937,-0.002409735577472535,0.022877785573602618,-0.0006648612987415734,0.00637796322873568,-5.898702795770378e-05,0.0007244019874458417,-0.0002653444251124116,-0.00032056909550468883,-0.00011005838136297879,-1.5558866788185683,245.88225099390857,235.79250844975877,0.976895014187272,701.2559952483214,1.4219163114825075,2410,1151.2157676348547,norm
11,12,21.225838591829955,2202.806044503487,3011,0.8360211664675268,1,0.7279980657640233,89.62700485902673,431.54059448357253,-70.44167709652228,-70.44167709652228,151.6912752432931,448.2714175060224,134.96045222084328,3011.0,140933.0,7895885.0,487861679.0,63911.0,3203521.0,184575765.0,11565984613.0,1813307.0,93776197.0,5428127593.0,338841062197.0,58769471.0,3084378115.0,178118596335.0,11025179988499.0,3011.0,-1.8189894035458565e-12,1299368.729990037,-3350086.909123763,5.968558980384842e-13,212099.8897376286,-2876129.3061396354,220563061.14771566,456742.4297575554,-101527.19031656384,158829220.96576983,-825965837.3116808,891027.1164163853,53400588.93782049,-516308237.5161608,46041822558.96913,0.193700388484512,0.010827537043453388,0.00040363351002628876,6.406081930132005e-05,9.826822016977097e-09,5.584986421918485e-06,3.0895975753028385e-09,,,0.1433213531994595,-0.006734094165720268,,0.02339477817885164,-0.005781380037510089,0.008079798201020748,0.0503790352850525,-0.00020408236518006283,0.005818327181128919,-0.0005514097494621656,0.0017910760732256766,0.001956202367649806,-0.00034468422667535464,0.0005601566352811989,1.33760409976967,224.30865786510142,215.3394596357908,0.9656831302116742,414.52677687806755,1.024653000623592,3011,763.4280969777483,norm
12,13,27.002838605028387,2365.5109489051097,2466,0.6062021508497105,1,0.7361194029850746,73.00684899377592,168.98953948887356,23.179876983915555,23.179876983915555,251.51540151247553,257.5804344614674,162.9245065398817,2466.0,57978.0,1779846.0,62213994.0,66589.0,1508409.0,44896677.0,1542020295.0,2418329.0,52295263.0,1487493035.0,49514338369.0,100537789.0,2066733015.0,55915959363.0,1795880160945.0,2466.0,-4.547473508864641e-12,416728.2043795621,772774.5940646782,-1.8189894035458565e-12,-57161.576642335756,-476371.4642584406,-9543600.036903527,620236.9801297645,-1474896.897780619,87105492.11851004,-158572864.68245494,1739723.1765118332,-52487941.06314058,88701607.34123576,-8865099522.409721,0.17052106285537266,0.0014733620862047315,0.0004063343431951152,2.290762141193619e-05,1.941147820006738e-09,7.705197918519728e-07,1.0566378112249668e-09,,,0.06852779379110849,0.00255899922886773,,-0.009399787909130396,-0.0015774770794158802,-0.0006364041652057049,0.10199326906426419,-0.0048840374063385955,0.005808531139418795,-0.00021293797468898679,0.005760994604805148,-0.003500098933996419,0.00011911206029306432,-0.00023972389556048496,-0.2559136914717282,202.29646455628168,194.8632908585413,0.9412213740458015,695.3057746021349,2.2779414148455706,2466,1112.7960259529602,norm
13,14,14.737250928740291,2456.324552516042,2961,0.9556030526426207,1,0.6130434782608696,115.27792503337315,888.8561651577456,107.18760491135409,107.18760491135409,92.58006795763586,903.0324243250689,78.40380879031262,2961.0,140128.0,9263398.0,718779532.0,43637.0,1747719.0,102593213.0,7373438859.0,917219.0,31274849.0,1592140063.0,103066357889.0,22940777.0,679827885.0,30020067851.0,1732558414725.0,2961.0,3.637978807091713e-12,2631903.105032085,31286093.449553676,-6.426859044950106e-12,-317382.49814251944,-3883838.3767545107,-535550562.5324524,274129.5812225598,-2777438.7031779,229079646.62810785,-1069568328.7478827,1343657.5894570411,-76245043.94375671,1031956541.7190672,-97216571752.6675,0.3314543171615608,0.0775603906233893,0.007638021595027597,0.0035991151397520927,1.884661511308409e-05,0.000998701302475634,9.496974487219538e-07,,,0.30018783017823225,0.06557757000145538,,-0.036199799024435694,-0.00814076335342504,-0.020629336387954018,0.03126648698332856,-0.005821681804923412,0.008824117498034575,-0.0007571363700214331,0.0028163886863242405,-0.0029369489446382244,0.0007305113745577453,-0.0012646975361586092,-1.439302951824704,282.71067811865476,270.7080467760229,0.9198508853681268,878.3010626471856,1.5586541955222653,2961,1494.791624451199,norm
14,15,14.656343656343656,2608.895104895105,2002,0.8587467613755635,1,0.7723765432098766,73.16419889536138,325.2287572567291,-12.21120487903705,-12.21120487903705,86.17560661117105,325.8509053270423,85.55345854085786,2002.0,73864.0,3376328.0,172020250.0,29342.0,1107023.0,49480419.0,2442694247.0,602570.0,22904007.0,1000439539.0,47837962671.0,14292218.0,544741121.0,23347838313.0,1086511617977.0,2002.0,9.421796676178928e-12,651107.9720279718,-595119.5723018177,5.32196509084315e-12,24446.832167832174,-1808141.338905848,21806379.936105777,172523.56443556445,-44478.70376476625,43733739.77584323,-136339460.3103394,403615.7046270408,3629768.8130583074,-201064495.04221788,2845063181.730923,0.2054966852487014,0.014406887551000242,0.0010627754410242162,7.405953014095414e-05,-7.47241103081436e-09,-5.123962700590138e-06,1.9387247822788634e-08,,,0.16245192670166292,-0.0033185170301868578,,0.006099502936581943,-0.010082591978844915,0.0027176364271049892,0.043044758547038486,-0.00024802299032631274,0.005450350065284006,-0.00037974959078393227,0.00225064953631943,0.00045236265612358666,-0.0005600297928395852,0.0001771069576771232,1.5198913923282096,182.71067811865476,175.9021018791709,0.9866929521931986,254.4843404840801,1.6239018495948006,2002,497.012987012987,norm
15,16,12.165064102564102,2703.4615384615386,1248,0.8426764895617591,1,0.7419738406658739,59.22837157984339,190.82384122287962,11.005670611439841,11.005670611439841,56.47435640614731,191.71943599039247,55.578761638634454,1248.0,34272.0,1179310.0,45519378.0,15182.0,403186.0,13175004.0,479309698.0,255170.0,6767912.0,214947910.0,7518482288.0,4919126.0,131652544.0,4118405178.0,140525537428.0,1248.0,1.0018652574217413e-12,238148.15384615373,53881.70414201401,4.121147867408581e-13,-13735.076923076922,-417005.0604043392,-9007299.951524809,70479.99679487183,94727.41321499008,10568796.628247406,48532759.47632592,100179.23503246227,-793406.9867409152,-31977668.141882777,-658967677.1402693,0.19815560707454077,0.011899990762753372,0.0006205824104566447,4.0451342261828914e-05,-5.518707815117708e-10,-2.2354482799881094e-06,-6.385326659385635e-09,,,0.15290371892858942,0.000979275433009742,,-0.008818646323269104,-0.007578877052930735,-0.004633944941181865,0.04525188814595136,0.0017216275927262235,0.005437281086831822,0.0007067794870377434,0.0018207119712923814,-0.00040818051050737066,-0.00046568874570191815,-0.0002716475367344837,-1.4895994841498967,145.39696961967,140.52648796065145,0.9742388758782201,1504.6291552963628,1.8591757324351992,1248,2107.9503205128203,norm
16,17,34.884717168375786,2799.4151505127356,6046,0.8877111001913266,1,0.5791187739463601,137.90576492663388,900.0578849178021,-389.46499502272184,-389.46499502272184,469.06825138378383,1129.6709184539477,239.45521784763827,6046.0,395500.0,31313442.0,2716561078.0,210913.0,16151611.0,1399011259.0,128911442149.0,10193627.0,853900597.0,77608942589.0,7373014454239.0,576899143.0,51099906547.0,4785232293427.0,463043699883205.0,6046.0,-8.344613888766617e-11,5441749.972213032,-43758230.47180104,-5.678657544194721e-11,2354705.359907376,-1416119.801312493,4194529121.6983886,2835986.6478663576,22796491.53385889,2989346679.748536,11692020618.794523,23432163.976864964,2379584708.8488255,29754775262.445328,3789387768124.869,0.22645156075117204,0.021679747189235335,0.0016516695369450131,0.00011438750444057335,-4.433235813244832e-08,-1.5119089723218959e-05,-2.2510030950326912e-08,,,0.14886832367148564,-0.015395343888136842,,0.06441696907421797,-0.0004982297294232545,0.01897923859154152,0.0775832370796864,0.00802043004990628,0.01352607699736446,0.0006803792695106199,0.008244077024538794,0.010767050276131849,0.001731482770820026,0.0028359363386839757,1.0380885674443463,350.63455967290594,335.1039244941493,0.9128793598067341,990.294396220984,1.9150972382376503,6046,1429.9125041349653,norm
17,18,42.05855492882085,2878.6642492613482,3723,0.8968180216556199,1,0.5911400444585583,110.6752004741803,245.28345731310392,-221.7212446040898,-221.7212446040898,587.1257682045439,696.1588084546315,136.25041706301624,3723.0,132778.0,5648618.0,263967520.0,156584.0,6409919.0,293913259.0,14416231391.0,8771566.0,384958285.0,18383880477.0,926697511633.0,563643074.0,25896696017.0,1272158857837.0,65388356164577.0,3723.0,-2.4158453015843406e-12,913190.3115766856,-2622694.124377728,-8.668621376273222e-12,825468.1936610263,-2538858.2570097875,435943610.37741923,2185869.2350255167,2690970.0334579037,680477000.6763802,-1247607349.0871744,10854681.000142034,1074687348.5935624,1579517013.6519163,564309859713.5107,0.22358560986238185,0.022617670885185504,0.0006369459159596327,9.668843721332749e-05,2.1054518570663124e-08,9.065739064736072e-06,1.1508559895231151e-08,,,0.06588328157751916,-0.003101094871388415,,0.059554457320464625,-0.0030019666597084485,0.008447947532611005,0.1577023282848627,0.0031818248617902314,0.013186645845974595,-0.0003962345098911313,0.012834663130258998,0.020825863985067163,0.0005016475337589082,0.0029372809830467504,0.4570317308664583,269.76450198781714,258.43430216717155,0.9422930903568717,1762.642678624286,1.13910944153027,3723,3120.113349449369,norm
18,19,8.661375661375661,2940.3248677248675,945,0.9550359452530962,1,0.8289473684210527,61.39218191268331,263.4912863581646,16.08364267517706,16.08364267517706,24.334010805968454,264.5680843240589,23.257212840074175,945.0,28657.0,1118019.0,48812983.0,8185.0,233010.0,8947678.0,387818064.0,93889.0,2574928.0,97670312.0,4198071682.0,1205977.0,32130270.0,1207027678.0,51550871220.0,945.0,6.547651310029323e-12,248999.26560846556,-192534.87522073853,1.0871303857129533e-12,-15199.042328042322,185913.34072954318,-9951902.656186702,22995.640211640213,-8954.275227457281,5941396.167963857,-15167247.240583887,-5578.656364603469,-787483.5790354968,9332916.28884642,-488954985.22393113,0.3045770340361197,0.06520639029854727,0.00045748507284809,9.702152331583928e-05,1.2619473782762533e-08,5.994772655338962e-06,-1.6079836966570508e-08,,,0.27882675805096785,-0.007013420631115421,,-0.017019727698600065,0.006772219619833961,-0.011792630577968914,0.02575027598515183,-0.00032617518537841623,0.007040331135333351,-0.000584649303255008,-0.0002032123457973862,-0.0009331384414224903,0.00035975433900827734,-0.0006131145807126296,-1.5039462069841314,144.18376618407356,139.3762989800132,0.9228515625,1071.2427854579491,1.859280413026349,945,1675.658201058201,norm
19,20,5.031055900621118,2261.204968944099,161,0.9494497763699233,1,0.805,25.079872407968907,41.641217545619384,0.1927008988850738,0.1927008988850738,4.104625593148412,41.64220678454349,4.10363635422431,161.0,1965.0,30687.0,535617.0,488.0,5925.0,90027.0,1521027.0,2140.0,26307.0,392937.0,6474501.0,10700.0,133221.0,1967427.0,31796019.0,161.0,2.4513724383723456e-13,6704.236024844721,-2566.8669418618124,2.042810365310288e-14,-31.024844720496883,-2229.697889741907,-6953.387298626666,660.8447204968944,376.4425369391612,21484.72631078521,18391.54610679654,207.42579375795708,59.880835486515096,-11207.621343737075,-64262.936719218145,0.2841356716693652,0.05436303653223382,0.0005659670514030552,8.215847310790567e-05,7.112049403273519e-09,1.330685978215296e-06,1.6226139750264635e-08,,,0.25864110276782226,-0.007804384662290925,,-0.0011968999930749926,-0.006779245051020253,-0.0016661680099247249,0.025494568901542936,0.0011445479754361328,0.005148161916435823,0.00034731830599455375,0.0006306640429885092,1.434862293876571e-05,-0.00021165224700149933,-9.56438531876111e-05,-1.5656628259131675,56.14213562373095,55.90759922468476,0.9415204678362573,126.17240503306981,3.0883773215411576,161,456.0496894409938,norm
